gene,scores,logfoldchanges,pvals,pvals_adj,pct_neg,pct_pos
PKDCC,-0.16587475,-3.2454317,0.8682555164460664,1.0,0.0007217610970768675,0.0022629554197782305
IL17RE,-0.16603692,0.18087691,0.8681278958823075,1.0,0.002755815097929858,0.004299615297578638
LIPH,-0.1661887,0.6168853,0.8680084511771311,1.0,0.002755815097929858,0.004299615297578638
AADAT,-0.16622545,-4.15043,0.8679795334382667,1.0,0.000492109838916046,0.002036659877800407
SOX6,-0.1666049,-1.3524225,0.8676809366883262,1.0,0.0025261638397690365,0.004073319755600814
LRRC34,-0.16679902,-1.3800538,0.8675281881731343,1.0,0.002296512581608215,0.003847024213622992
ENKD1,-0.16722721,-0.26718566,0.8671912789012288,1.0,0.0041009153243003835,0.005657388549445576
NINL,-0.16725996,-0.8426096,0.8671655088486099,1.0,0.0041009153243003835,0.005657388549445576
ZNF628,-0.16731508,-0.21030778,0.8671221400543923,1.0,0.016108395393851907,0.017651052274270197
RRAGD,-0.16746846,1.7003089,0.867001463775815,1.0,0.0018372100652865719,0.0033944331296673455
STEAP3,-0.16752917,-0.8735123,0.8669536969383692,1.0,0.0018372100652865719,0.0033944331296673455
WNT10B,-0.1679318,-0.26014385,0.866636939686953,1.0,0.0016075588071257504,0.0031681375876895226
AARD,-0.16797014,0.74836963,0.86660677344583,1.0,0.0038712640661395623,0.005431093007467753
NFIB,-0.16804044,-0.67813736,0.8665514691750922,1.0,0.003641612807978741,0.00520479746548993
GPR146,-0.16810514,0.48288894,0.8665005646851253,1.0,0.003641612807978741,0.00520479746548993
BBS12,-0.1681315,-4.311846,0.866479825977577,1.0,0.003641612807978741,0.00520479746548993
SLC15A2,-0.16816665,-0.93426055,0.8664521745105014,1.0,0.001377907548964929,0.0029418420457116997
OTUD7A,-0.16822897,-0.052370135,0.8664031564023988,1.0,0.005905318066992553,0.00746775288526816
FAT4,-0.16839273,2.2951105,0.8662743292096167,1.0,0.0034119615498179193,0.004978501923512107
EPHB4,-0.168626,-1.2792499,0.8660908351479109,1.0,0.0011482562908041074,0.0027155465037338763
ANKLE1,-0.16864356,-1.1599547,0.8660770105451062,1.0,0.0011482562908041074,0.0027155465037338763
KLK1,-0.16904858,-2.4046519,0.8657584276506758,1.0,0.0009186050326432859,0.0024892509617560534
IGFBP3,-0.16907734,0.19977549,0.865735807208838,1.0,0.009284472294216068,0.010862186014935505
ZNF416,-0.16909492,-0.4863777,0.8657219836596379,1.0,0.0074800695515239,0.009051821679112922
COL23A1,-0.16926347,-0.28562796,0.8655894053429618,1.0,0.0052163642925100884,0.006788866259334691
TUB,-0.16940087,-2.2579262,0.8654813348214376,1.0,0.0006889537744824645,0.0022629554197782305
MIPOL1,-0.1695263,-1.7821083,0.8653826912505851,1.0,0.0029526590334962763,0.004525910839556461
TSPYL5,-0.16995129,-0.42189816,0.8650484496583649,1.0,0.004757061776188445,0.006336275175379045
TGFB1I1,-0.17001918,-0.7360974,0.8649950486315724,1.0,0.0024933565171746334,0.004073319755600814
ASCL1,-0.1700743,-2.0866745,0.8649517000161007,1.0,0.00022965125816082148,0.0018103643358225842
CELSR1,-0.17020932,1.3570094,0.8648455290370662,1.0,0.0022637052590138117,0.003847024213622992
DEPTOR,-0.1702141,-0.6283366,0.8648417596980299,1.0,0.0022637052590138117,0.003847024213622992
SDC3,-0.17066386,-0.5634028,0.8644880837458506,1.0,0.0020340540008529904,0.0036207286716451684
ADAMTSL3,-0.17082123,-2.3589518,0.8643643349801404,1.0,0.0020340540008529904,0.0036207286716451684
PTK7,-0.17096263,-2.646494,0.8642531523780168,1.0,0.004068108001705981,0.005657388549445576
LPL,-0.17107287,-2.045739,0.8641664695018618,1.0,0.001804402742692169,0.0033944331296673455
AQP11,-0.17110641,1.0931945,0.8641400880813782,1.0,0.003838456743545159,0.005431093007467753
KIAA1217,-0.17132291,1.4485393,0.8639698687489645,1.0,0.0015747514845313474,0.0031681375876895226
DDAH1,-0.17138842,-0.9103239,0.8639183645120971,1.0,0.0015747514845313474,0.0031681375876895226
CPS1,-0.17141397,1.8696927,0.863898265454553,1.0,0.0015747514845313474,0.0031681375876895226
NEGR1,-0.17142357,-2.9515073,0.8638907283306791,1.0,0.0015747514845313474,0.0031681375876895226
CCDC180,-0.1714651,-0.50180864,0.8638580676036922,1.0,0.006561464518880614,0.008146639511201629
